epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.4845,1.74454,3.51157,1.81025,0.00268,0.7774,0.08876,0.01868,2.49998,2.9374,3.12576,0.000548543,0.000548543,0.000548543
2,164.76,1.81807,3.09904,1.81479,0.16461,0.30096,0.10358,0.03711,1.96771,2.68053,2.65455,0.00104955,0.00104955,0.00104955
3,238.997,1.84565,2.90669,1.81361,0.22866,0.44583,0.19784,0.06317,1.95937,2.57888,2.8349,0.00149555,0.00149555,0.00149555
4,313.246,1.80066,2.68434,1.79302,0.22663,0.648,0.18111,0.07894,1.89797,2.52268,2.43715,0.00141945,0.00141945,0.00141945
5,388.816,1.77989,2.61561,1.76952,0.15414,0.67233,0.17241,0.05214,2.31369,2.59192,2.65407,0.00133693,0.00133693,0.00133693
6,417.737,1.76962,2.56627,1.73347,0.06496,0.69483,0.10438,0.03459,2.068,2.71458,2.56384,0.00125442,0.00125442,0.00125442
7,437.077,1.7337,2.4833,1.74409,0.28334,0.64538,0.23208,0.10151,1.95448,2.13489,2.40231,0.0011719,0.0011719,0.0011719
8,456.656,1.74686,2.48775,1.70989,0.27907,0.66765,0.22571,0.10443,1.78156,2.15708,2.2364,0.00108938,0.00108938,0.00108938
9,475.173,1.70824,2.44367,1.70646,0.21837,0.6946,0.21259,0.09743,1.78684,2.25095,2.23018,0.00100687,0.00100687,0.00100687
10,493.682,1.67041,2.44864,1.67302,0.26837,0.69632,0.22974,0.10654,1.78179,2.11984,2.22009,0.000924352,0.000924352,0.000924352
